PI name,Platform,Major version,API layer,Market,EIM No,BA ID,Level 2,Level 3,Level 4,Level 5,GitHub repo,Branch,Contract file,Operation file link,SHP app config file,SHP deploy config file,Design document link,Status,Lifecycle status,Data source,Value Stream,Sub Value Stream,CIO,License Name,License Owner,Owner Name,Owner Email,Score,IWPB compliance,Global compliance,Classification,Is BA US scoped,Is Vendor API,Ice Component Id,Ice Component Name,Technology,Language,Build pack/Image,Key,Java version,Impacted,Technology2,Maven Parent,Maven Parent Version,Last updated,branchLastCommitAt,application_id,request_repo_url,request_branch,latest_commit,status_url,plugin_status_url,scan_results_main_status_url,scan_results_plugin_dependencies_status_url,status_policy_action,status_report_html_url,status_report_pdf_url,status_report_data_url,status_embeddable_report_html_url,status_is_error,status_components_affected_critical,status_components_affected_severe,status_components_affected_moderate,status_open_policy_violations_critical,status_open_policy_violations_severe,status_open_policy_violations_moderate,status_grandfathered_policy_violations,status_legacy_violations,status_check_payload,plugin_status_policy_action,plugin_status_report_html_url,plugin_status_report_pdf_url,plugin_status_report_data_url,plugin_status_embeddable_report_html_url,plugin_status_is_error,plugin_status_components_affected_critical,plugin_status_components_affected_severe,plugin_status_components_affected_moderate,plugin_status_open_policy_violations_critical,plugin_status_open_policy_violations_severe,plugin_status_open_policy_violations_moderate,plugin_status_grandfathered_policy_violations,plugin_status_legacy_violations,plugin_status_check_payload,component_count,issue_count,components_with_issues,issue_density_per_component,critical_count
Service Auth,AWS,v1,Core,Global,EIM-1001,BA-101,Digital,Security,Auth,Gateway,https://github.com/org/auth-service,main,,,,,,,Active,Production,Sonar,, ,Jane Doe,Apache 2.0,Jane Doe,Jane Doe,jane@example.com,95,Yes,Yes,Confidential,No,No,ICE-01,Auth Component,Java/Spring,Java,java-11-docker,AUTH,11,No,,,1.0,2026-03-19,2026-03-19,,,,,,,Pass,https://sonar.org/auth/main,,,,false,0,0,0,0,0,0,0,0,,Pass,https://sonar.org/auth/plugin,,,,false,0,0,0,0,0,0,0,0,,10,0,0,0,0
Service Payment,Azure,v2,Experience,US,EIM-1002,BA-102,Digital,Commerce,Payments,Invoicing,https://github.com/org/payment-service,master,,,,,,,Active,Production,Sonar,, ,John Smith,MIT,John Smith,John Smith,john@example.com,80,Yes,Yes,Restricted,Yes,No,ICE-02,Payment Component,Node.js,TypeScript,node-18-docker,PAY,N/A,Yes,,,1.0,2026-03-19,2026-03-19,,,,,,,Fail,https://sonar.org/payment/main,,,,true,2,1,0,2,1,0,0,0,,Pass,https://sonar.org/payment/plugin,,,,false,0,0,0,0,0,0,0,0,,15,3,2,0.2,2
Service Catalog,AWS,v1,Experience,Global,EIM-1003,BA-103,Digital,Commerce,Catalog,Search,https://github.com/org/catalog-service,main,,,,,,,Active,Production,Sonar,, ,Alice Wong,Apache 2.0,Alice Wong,Alice Wong,alice@example.com,100,Yes,Yes,Public,No,No,ICE-03,Catalog Component,Go,Go,go-1.21-docker,CAT,N/A,No,,,1.0,2026-03-19,2026-03-19,,,,,,,Pass,https://sonar.org/catalog/main,,,,false,0,0,0,0,0,0,0,0,,Pass,https://sonar.org/catalog/plugin,,,,false,0,0,0,0,0,0,0,0,,20,0,0,0,0
Service UserProfile,On-Premise,v3,Core,EU,EIM-1004,BA-104,Digital,Marketing,Analytics,Tracking,https://github.com/org/user-profile,develop,,,,,,,Active,Production,Sonar,, ,Bob Chen,MIT,Bob Chen,Bob Chen,bob@example.com,90,Yes,Yes,Confidential,No,No,ICE-04,Profile Component,Java/Spring,Java,java-17-docker,USR,17,No,,,2.0,2026-03-19,2026-03-19,,,,,,,Warn,https://sonar.org/profile/main,,,,false,0,2,5,0,2,5,1,1,,Warn,https://sonar.org/profile/plugin,,,,false,0,1,2,0,1,2,0,0,,25,11,4,0.44,0
Service Notification,AWS,v1,Utility,Global,EIM-1005,BA-105,Digital,Infrastructure,Messaging,Gateway,https://github.com/org/notification,main,,,,,,,Active,Production,Sonar,, ,Eve Adams,Apache 2.0,Eve Adams,Eve Adams,eve@example.com,85,Yes,Yes,Internal,No,No,ICE-05,Notify Component,Python,Python,python-3.11-docker,NOTIF,N/A,No,,,1.0,2026-03-19,2026-03-19,,,,,,,Fail,https://sonar.org/notify/main,,,,true,1,0,0,1,0,0,0,0,,Fail,https://sonar.org/notify/plugin,,,,true,1,0,1,1,0,1,0,0,,8,3,2,0.375,1
Service Recommendation,GCP,v2,Experience,US,EIM-1006,BA-106,Digital,Marketing,AI,Recommendations,https://github.com/org/recommender,main,,,,,,,Active,Production,Sonar,, ,Charlie Day,Apache 2.0,Charlie Day,Charlie Day,charlie@example.com,70,No,Yes,Confidential,Yes,No,ICE-06,AI Component,Python,Python,python-3.11-docker,REC,N/A,Yes,,,1.0,2026-03-19,2026-03-19,,,,,,,Pass,https://sonar.org/recommender/main,,,,false,0,0,0,0,0,0,0,0,,Pass,https://sonar.org/recommender/plugin,,,,false,0,0,0,0,0,0,0,0,,30,0,0,0,0
Service Order,Azure,v1,Core,Global,EIM-1007,BA-107,Digital,Commerce,Billing,Invoicing,https://github.com/org/order-service,main,,,,,,,Active,Production,Sonar,, ,David Kim,MIT,David Kim,David Kim,david@example.com,92,Yes,Yes,Restricted,No,No,ICE-07,Order Component,Java/Spring,Java,java-17-docker,ORD,17,No,,,1.0,2026-03-19,2026-03-19,,,,,,,Pass,https://sonar.org/order/main,,,,false,0,0,1,0,0,1,0,0,,Pass,https://sonar.org/order/plugin,,,,false,0,0,0,0,0,0,0,0,,40,1,1,0.025,0
Service Inventory,AWS,v1,Core,Global,EIM-1008,BA-108,Digital,Commerce,Catalog,Gateway,https://github.com/org/inventory,main,,,,,,,Active,Production,Sonar,, ,Fiona Lee,Apache 2.0,Fiona Lee,Fiona Lee,fiona@example.com,98,Yes,Yes,Internal,No,No,ICE-08,Inventory Component,Go,Go,go-1.21-docker,INV,N/A,No,,,1.0,2026-03-19,2026-03-19,,,,,,,Pass,https://sonar.org/inventory/main,,,,false,0,0,0,0,0,0,0,0,,Pass,https://sonar.org/inventory/plugin,,,,false,0,0,0,0,0,0,0,0,,12,0,0,0,0
Service Search,On-Premise,v2,Experience,Global,EIM-1009,BA-109,Digital,Infrastructure,Search,Gateway,https://github.com/org/search-engine,develop,,,,,,,Active,Production,Sonar,, ,George Harris,MIT,George Harris,George Harris,george@example.com,88,Yes,Yes,Public,No,No,ICE-09,Search Component,Java/Spring,Java,java-11-docker,SRCH,11,No,,,1.5,2026-03-19,2026-03-19,,,,,,,Warn,https://sonar.org/search/main,,,,false,0,1,1,0,1,1,2,0,,Pass,https://sonar.org/search/plugin,,,,false,0,0,0,0,0,0,0,0,,50,2,2,0.04,0
Service FraudDetection,AWS,v1,Core,Global,EIM-1010,BA-110,Digital,Security,AI,Tracking,https://github.com/org/fraud-detection,main,,,,,,,Active,Production,Sonar,, ,Helen White,Apache 2.0,Helen White,Helen White,helen@example.com,100,Yes,Yes,Confidential,No,No,ICE-10,Fraud Component,Python,Python,python-3.11-docker,FRD,N/A,No,,,1.0,2026-03-19,2026-03-19,,,,,,,Pass,https://sonar.org/fraud/main,,,,false,0,0,0,0,0,0,0,0,,Pass,https://sonar.org/fraud/plugin,,,,false,0,0,0,0,0,0,0,0,,18,0,0,0,0
